Name,Region,Year,Color,Castes,AlcoholPercentage,Producer,MinimunPrice,MaximumPrice,Judge,JudgeRating,Date,JudgeNotes,Label,Link
.Com 2010,Regional Alentejo,2010,Red,"Touriga Nacional, Cabernet Sauvignon, Trincadeira e Aragonês",14.0,Tiago Mateus Cabaço e Cabaço,2.0,4.0,Susana Esteban,15.5,Outubro 2012,"Cor rubi intensa e nariz muito aromático, onde se destacam os frutos silvestres, um delicado floral e um subtil toque especiado, na boca é um vinho equilibrado e guloso além de jovem, conta com um volume médio/alto e um paladar muito frutado e ligeiramente apimentado, termina com um comprimento mediano e uma persistência interessante.","As castas Touriga Nacional, Cabernet Sauvignon, Trincadeira e Aragonez, educadas na região de Estremoz, deram-lhe corpo, forma e feitio. A selecção das melhores cubas dá origem a este vinho de expressão jovial e temperamento irreverente.",https://osvinhos.blogspot.pt/2013/08/2809-com-2010-tinto.html
.Com Premium 2011,Regional Alentejo,2011,Red,"Touriga Nacional, Trincadeira, Aragonez e outras",14.0,Tiago Mateus Cabaço e Cabaço,2.0,4.0,Tiago Cabaço e Susana Esteban,15.5,Outubro 2015,"Cor rubi de média concentração, o nariz evidencia agradáveis aromas de fruta vermelha e notas florais, acompanhados por alguma mineralidade e subtis nuances de especiarias, na boca é um vinho equilibrado, de estrutura média e volume e taninos correctos, revelando um paladar frutado e terminando com um final de boca de comprimento mediano.","As castas Touriga Nacional, Trincadeira, Aragonez e outras educadas na região de Estremoz, deram-lhe corpo, forma e feitio. A selecção das melhores cubas dá origem a este vinho de expressão jovial e temperamento irreverente.",https://osvinhos.blogspot.pt/2016/09/4141-com-premium-2011-tinto.html
.Com Premium 2014,Regional Alentejo,2014,Red,"Aragonez, Trincadeira e Touriga Nacional",14.0,Tiago Mateus Cabaço e Cabaço,2.0,4.0,Susana Esteban,15.0,Janeiro 2017,"Apresenta uma cor rubi de tonalidade violácea, o nariz evidencia aromas florais e de frutos do bosque envolvidos por um ligiero toque especiado, na boca é um vinho correcto, de corpo médio e fácil prova, revelando um paladar frutado e ligeiramente vegetal, o final de boca termina curto.","Este vinho, o nosso primeiro, chega agora até si com imagem renovada! Quisemos evidenciar o traço arquitéctonico da nossa adega, que materealiza a realização de um sonho e do sucesso conseguido através do empenho de toda a equipa Tiago Cabaço. Espero que desfrutem, continuando a reconhecer a qualidade que este vinho tem oferecido, desde a sua primeira colheita.",https://osvinhos.blogspot.pt/2017/09/4532-com-premium-2014-tinto.html
.Com Premium 2015,Regional Alentejo,2015,White,"Antão Vaz, Verdelho e Viognier",13.0,Tiago Mateus Cabaço e Cabaço,2.0,4.0,Susana Esteban e Mariana Cavaca Pinto,15.0,Outubro 2015,"Apresenta uma cor amarela límpida e um nariz maioritariamente citrino, além de evidenciar breves apontamentos vegetais e de fruta tropical madura, na boca evicencia uma acidez agradável e uma frescura bem presente, com o paladar a revelar notas limonadas e florais, o final de boca termina de uma forma mediana e ligeiramente seca.","Este vinho, o nosso primeiro, chega agora até si com imagem renovada! Quisemos evidenciar o traço arquitetónico da nossa adega, que materializa a realização de um sonho e do sucesso conseguido através de toda a equipa Tiago Cabaço. Espero que desfrutem, continuando a reconhecer a qualidade que este vinhotem oferecido, desde a sua primeira colheita.",https://osvinhos.blogspot.pt/2017/03/4356-com-premium-2015-branco.html
@Batista's Cabernet Sauvignon 2009,Regional Tejo,2009,Red,Cabernet Sauvignon,14.5,"Pitada Verde - Produção Agrícola, Lda",4.0,7.5,João Pedro Batista,16.0,Julho 2012,"Cor rubi de bela intensidade e nariz agradavelmente preenchido por notas florais, fruta vermelha e um delicado toque apimentado que confere alguma complexidade ao conjunto, na boca é um vinho equilibrado, com taninos redondos e um paladar dominado pela fruta e por delicadas sugestões de pimento e especiarias, o final de boca tem um comprimento médio e uma persistência relativamente expressiva.","Situada a Sul do Tejo, no lugar da Azeitada encontra-se a vinha com 10 anos de idade de onde se vindimaram as uvas que estiveram na génese deste vinho. Os cachos foram desengaçados, esmagados e colocados em lagar de cimento onde fermentaram durante 10 dias com controle de temperatura e pisa a pé. Estagiou 6 meses em Carvalho Francês. Resultou um tinto volumoso de prova, denso na sua cor violácea, aroma intenso a pimenta e fruta madura, com a tosta da madeira bem integrada. A temperatura de consumo é 18ºC e o borrego ou cabrito assados serão boas companhias para este vinho. Garrafa nº 1181 de 2667.",https://osvinhos.blogspot.pt/2013/05/2663-batistas-cabernet-sauvignon-2009.html
100 Hectares 2014,DOC Douro,2014,White,"Viosinho, Rabigato e Gouveio",13.5,100 Hectares Sociedade Agrícola Lda,4.0,7.5,Francisco Montenegro,15.5,Julho 2015,"Apresenta uma cor amarela citrina e um nariz rico em aromas de fruta madura e breves notas florais e minerais, na boca é um vinho muito fresco e equilibrado, com uma acidez bem interessante e um paladar dominado pela fruta, acompanhada por diversas nuances cítricas e vegetais, o final de boca termina com um comprimento e persistência de expressão média.","100 Hectares Branco 2014 é elaborado a partir das castas tradicionalmente utilizadas no Douro, Viosinho, Rabigato e Gouveio. O 100 Hectares Branco possui uma bela cor citrina e um aroma jovem e muito frutado. A sua excelente acidez proporciona um equilíbrio perfeito e que muito contribui para o excepcional fim de prova, longo e fresco. Enólogo: Francisco Montenegro. Design: Miguel Freitas.",https://osvinhos.blogspot.pt/2016/06/4050-100-hectares-2014-branco.html
100 Hectares Touriga Nacional 2012,DOC Douro,2012,Red,Touriga Nacional,14.0,100 Hectares Sociedade Agrícola Lda,4.0,7.5,Francisco Montenegro,15.5,Julho 2013,"Cor rubi intensa no centro e auréola de forte tonalidade violeta, no nariz destacam-se os aromas florais misturados com alguma fruta vermelha e delicadas notas achocolatadas, na boca é um vinho guloso, com taninos redondos e uma estrutura mediana, revela um paladar muito frutado e floral, com ligeiros apontamentos abaunilhados e também cacau, o final de boca tem um comprimento e uma persistência de expressão média.",-,https://osvinhos.blogspot.pt/2014/05/3130-100-hectares-touriga-nacional-2012.html
1000 Curvas Chardonnay & Alvarinho 2014,Regional Vinhos Verdes,1000,White,Chardonnay e Alvarinho,12.5,"Castanheira de Santa Leocádia Sociedade Agrícola, Lda",7.5,10.0,Pedro Mota,16.0,Abril 2017,"Cor amarela de média intensidade e nariz muito frutado e mineral, além de evidenciar uma forte componente citrina e vegetal, na boca é um vinho fresco e equilibrado, com uma acidez bem presente, no paladar revela-se um vinho cheio de fruta tropical e notas limonadas, muito bem secundadas por uma certa untuosidade e uma evidente mineralidade, o final de boca termina com um comprimento médio e uma persistência muito interessante.","Vine-growers desde 1907. Sublimes terraços tradicionais, cotas a 250 metros de altitude assentes em solo granítico, orientados pelas curvas de nível, banhadas pelo Rio Douro. Este é o nosso terroir Vale do Rio Douro Sul. O 1000 Curvas tem origem num projecto familiar que teve início em 2011 aquando da reconversão da vinha. Depois de várias provas selecionamos as castas Chardonnay e Alvarinho. Se o Chardonnay nos dá estrutura, corpo e untuosidade, o Alvarinho entrega aromas tropicais frescos e mineralidade, a este Blend. Passados 3 anos, em 2014, tivemos a nossa primeira vindima. Após um processo de vinificação minimalista e estágio longo (20 meses) temos um vinho charmoso, complexo, com toques florais e cítricos. Pedro Mota Enólogo.",https://osvinhos.blogspot.pt/2017/11/4589-1000-curvas-chardonnay-alvarinho.html
1000 Curvas Oak Chardonnay & Alvarinho 2016,Regional Vinhos Verdes,1000,White,Chardonnay e Alvarinho,12.5,"Castanheira de Santa Leocádia Sociedade Agrícola, Lda",10.0,12.5,Pedro Mota,15.5,Março 2019,"Cor amarelo pálido, apresenta um nariz muito citrino e ligeiramente floral e frutado, com subtis nuances de madeira a conferir uma certa complexidade ao conjunto, na boca é um vinho equilibrado, com uma acidez correcta e uma estrutura média, no paladar realce para a sua componente mais mineral que sobressai face às delicadas notas frutadas e limonadas, o final de boca termina com um comprimento médio.","Vine-growers desde 1907. Vinha plantada em sublimes terraços tradicionais, cotas a 250 metros de altitude, com exposição norte, assentes em solo granítico, orientados pelas curvas de nível, banhadas pelo Rio Douro. Este é o nosso terroir #ValedoRioDouro. O 1000 Curvas tem a originalidade em seu ADN. Um blend inusitado: 70% Chardonnay + 30% Alvarinho, traduzindo-se num vinho com carácter, elegante, fresco, complexo e estruturado. Envelhecido em barricas de Carvalho Francês. Pedro Mota Enólogo.",https://osvinhos.blogspot.com/2019/11/5308-1000-curvas-oak-chardonnay.html
1100 Tempranillo 2005,Argentina,1100,Red,Tempranillo,13.0,-,4.0,7.5,-,15.5,Novembro 2006,"Cor rubi e aromas a frutos silvestres bem presentes, na boca é suave e saboroso, o final da prova é persistente e comprido destacando-se alguma baunilha, advinda do estágio em carvalho francês de qualidade, o fumo também está em evidência.",-,https://osvinhos.blogspot.pt/2007/05/488-1100-tempranillo-2005-tinto.html
12 Volts 2007,Espanha,2007,Red,"Cabernet Sauvignon, Callet, Fogoneu, Syrah e Merlot",14.0,"4 Kilos Vinícola, S.L.",15.0,20.0,Francesc Grimalt,16.5,Fevereiro 2014,"Apresenta uma cor de forte tonalidade avermelhada e um nariz onde sobressaem os aromas de fruta vermelha e preta, bem maduras, bem como, especiarias, baunilha e ainda um delicado toque mineral e de tabaco, na boca é um vinho atractivo, encorpado e com um bom volume, revela um paladar complexo, onde a fruta preta e a madeira combinam com delicadas sensações minerais e uma leve sensação terrosa, o final de boca é algo seco e prolongado.",-,https://osvinhos.blogspot.pt/2015/01/3453-12-volts-2007-tinto.html
Van Zellers 2005,DOC Douro,2005,Red,"Tinto Cão, Tinta Barroca, Tinta Roriz, Touriga Nacional e Touriga Franca",14.0,"Lemos & Van Zeller, Lda",20.0,25.0,Cristiano Van Zeller,17.0,Dezembro 2008,"Este vinho apresenta uma cor rubi carregada, um nariz a revelar sugestões de ameixas maduras e alguma cereja, combinadas com uma certa mineralidade e fina tosta que conferem alguma complexidade ao conjunto, já o paladar é volumoso e fresco, está bem encorpado e destacam-se as delicadas notas de especiarias muito bem equilibradas com os frutos vermelhos, termina com muito boa persistência.",Engarrafado em Abril 2008.,https://osvinhos.blogspot.pt/2010/01/1197-van-zellers-2005-tinto.html
200 Monges Reserva 1999,Espanha,1999,Red,"Tempranillo, Graciano e Mazuelo",15.0,Bodegas Vinícola Real,25.0,50.0,Miguel Ángel Rodríguez,16.5,Março 2012,"Apresenta uma cor granada no centro com laivos delicadamente acastanhados, o nariz revela notas de fruta em passa misturadas com algum couro, vegetal seco e também um leve aroma resinoso e terroso, na boca é um vinho equilibrado e redondo, ligeiramente evoluído e onde o paladar revela notas de couro e algumas flores secas, o final de boca tem um comprimento médio/longo e uma interessante frescura e persistência.","Este vino es fruto de la selección de tres variedades de uva, tempranilo 85%, graciano 10% y mazuelo 5%, vendimiadas manualmente en cajas de 15 Kg, de un viñedo de 10 hectáreas cuya edad media sobrepasa los 25 años. Fermentó en 10 días a una temperatura entre 26º y 28º C, permaneciendo en presencia de los hollejos 20 días más y fue clarificado com clara de huevo. Criado durante 24 meses en barrica nueva de roble francés y americano. Se aconseja descorchar y decantar una hora antes, para que se desarrollen los aromas, y consumir a 18º C. De este vino se han seleccionado 62.416 botellas de 0,75L, 1,957 magnum de 1,5L y 323 doble magnum.",https://osvinhos.blogspot.pt/2013/01/2489-200-monges-reserva-1999-tinto.html
2PR Grande Reserva 2005,DOC Douro,2005,Red,"Touriga Nacional, Tinto Cão e Rufete",15.0,"Duplo Pr - Serv. Enologia, Lda",25.0,50.0,Pedro Sequeira e António Rosas,17.5,Novembro 2008,"Cor carregada e aromas profundos de frutos vermelhos e uma leve mas elegante sugestão floral, na boca é envolvente, continua muito aromático conta com uma bela complexidade, ligeiras notas de café e com os taninos bem presentes, o final é longo e persistente denotando uma grande longevidade.",-,https://osvinhos.blogspot.pt/2010/02/1209-2pr-grande-reserva-2005-tinto.html
4 Kilos 2012,Espanha,2012,Red,Callet e Manto Negro,13.0,"4 Kilos Vinícola, S.L.",25.0,50.0,Francesc Grimalt,17.0,Janeiro 2015,"Cor vermelha de intensidade alta e nariz rico em notas minerais, especiarias e delicadamente apimentadas, misturadas com breves notas de fruta negra e um subtil toque balsâmico, na boca é um vinho elegante e harmonioso, com taninos polidos e uma estrutura muito agradável, revela um paladar rico em fruta e notas apimentadas, bem como breves apontamentos de barrica, terminando com um final de boca prolongado.",Partida de Ajedrez Label and Video: by Lolo y Sosaku 2014.,https://osvinhos.blogspot.pt/2015/12/3833-4-kilos-2012-tinto.html
5 Outeiros Syrah 2013,Regional Tejo,2013,Red,Syrah,15.0,"Manuel Rosa Cândido, Lda",4.0,7.5,José Cândido,14.5,Dezembro 2014,"Apresenta uma cor intensa, de forte tonalidade violácea, o nariz revela delicados aromas florais e de fruta vermelha aliados a um evidente toque vegetal, na boca é um vinho correcto, com um paladar frutado e taninos muito redondos, o final de boca tem um comprimento curto.",-,https://osvinhos.blogspot.pt/2015/11/3807-5-outeiros-syrah-2013-tinto.html
Aa 2014,DOC Tejo,2014,White,Fernão Pires,10.0,"Adega Cooperativa de Almeirim, C.R.L.",-1,2.0,António Ventura,13.5,Setembro 2015,"Cor citrina muito pálida e nariz delicado, onde a fruta é acompanhada por um delicado toque floral, na boca é um vinho suave e fresco, com uma acidez correcta e um paladar frutado, termina curto.","Vinho elaborado com recurso às mais avançadas tecnologias de vinificação, de forma a potenciar todas as características organopléticas da casta Fernão Pires que constitui a sua base. Na prova revela-se com aromas intensos de fruta exótica e a sua acidez equilibrada proporciona-lhe leveza e frescura na boca.",https://osvinhos.blogspot.pt/2016/08/4117-aa-2014-branco.html
Aalto 2001,Espanha,2001,Red,Tempranillo,14.0,Bodegas Aalto SA,25.0,50.0,Mariano Garcia,15.5,Fevereiro 2013,"Cor rubi intensa e concentrada no centro, com laivos de tonalidade granada, inicialmente o nariz faz temer o pior devido à sua notória evolução mas aos poucos vai revelando notas resinosas, bem como um delicado toque balsâmico e químico, com a fruta negra a sentir algumas dificuldades em expressar-se, na boca é um vinho encorpado, com uns taninos sólidos e uma estrutura bem presente, embora já evoluído e com falta de garra, no paladar é um vinho seco, com a barrica a dominar um conjunto pouco frutado e demasiado especiado, o final de boca tem um comprimento médio/alto.",Embotellado en Feb 2004.,https://osvinhos.blogspot.pt/2013/07/2739-aalto-2001-tinto.html
Aalto 2011,Espanha,2011,Red,Tinto Fino,15.0,Bodegas Aalto SA,25.0,50.0,Mariano Garcia,17.5,Janeiro 2019,"Apresenta uma cor rubi muito concentrada no centro e uma fina auréola de tonalidade granada, o nariz sugere elegantes e complexos aromas especiados muito bem acompanhados por notas de fruta vermelha e preta bem maduras, além de breves sugestões florais, alguma tosta e ainda um subtil toque mentolado e de chocolate, na boca é um vinho muito encorpado e volumoso, com taninos sedosos e uma complexidade muito interessante, no paladar destaca-se a envolvência e harmonia existente entre a fruta negra e a barrica, além de diversas notas apimentadas, algum cacau e também um leve apontamento mineral, o final de boca termina longo e com uma grande persistência.",100% Tinto Fino procedente de viñedos de más de 40 años permanencia en barrica 20 meses. Embotellado en Julio 2013.,https://osvinhos.blogspot.pt/2014/08/3268-aalto-2011-tinto.html
Aalto 2015,Espanha,2015,Red,Tinto Fino,14.5,Bodegas Aalto SA,25.0,50.0,Mariano Garcia,17.0,Fevereiro 2018,"Cor rubi intensa e muito concentrada, o nariz sugere aromas de fruta vermelha e notas florais de violetas envolvidas por sugestivas nuances de barrica e breves apontamentos especiados, fumados e de tabaco, na boca apresenta-se um vinho de grande complexidade e volume, com taninos firmes e uma amplitude fantástica, no paladar é a fruta madura e as notas de barrica que dominam o conjunto, secundadas por breves sugestões mentoladas e minerais, o final de boca termina longo e persistente.",100% Tinto Fino procedente de viñedos de más de 40 años permanencia en barrica - 16 meses. Embotellado en Junio 2017.,https://osvinhos.blogspot.com/2018/10/4924-aalto-2015-tinto.html
Abad dom Bueno 2007,Espanha,2007,Red,Mencía,13.5,"Bodega del Abad, S.L.",2.0,4.0,José Luis Santín Vázquez,14.0,Abril 2010,"Cor rubi de média concentração e nariz composto por frutos pretos e algumas especiarias, na boca é um vinho fácil, sem grande estrutura mas correcto, continua frutado e termina algo seco e de comprimento e persistência curtos.",-,https://osvinhos.blogspot.pt/2011/03/1666-abad-dom-bueno-2007-tinto.html
Abastado Grande Reserva 2008,DOC Douro,2008,White,Rabigato,14.0,"Gesprove - Gest. Prod. Viticola e Enológica, Lda",10.0,12.5,José Pinheiro,15.5,Setembro 2011,"Apresenta uma cor dourada e um nariz complexo e especiado, onde as notas fumadas e de barrica se mistuam com alguma fruta madura, pêra, e até delicadas nuances de frutos secos, na boca é um vinho com alguma estrutura, volume médio e ligeira evolução, no paladar destaca-se a fruta madura e um leve toque mineral, num fundo dominado pelas especiarias e tosta, o final tem um comprimento e persistência medianos.",Rabigato. 10 meses carvalho francês. 8/10ºC. Garrafa nº 2925/4000. Enólogo: José Pinheiro.,https://osvinhos.blogspot.pt/2012/03/2149-abastado-grande-reserva-2008.html
Abrigada 2005,Regional Estremadura,2005,Red,"Aragonez, Touriga Nacional e Cabernet Sauvignon",14.0,"Quinta de Abrigada - Sociedade Agrícola, Lda",4.0,7.5,João Melícias,15.0,Março 2009,"Cor intensa e nariz marcado pela fruta madura, algumas notas de madeira e toques de pimento vindos do Cabernet, na boca mostra alguma complexidade, uma boa ligação entre a fruta e a madeira, embora o apimento esteja sempre presente, o final é médio/longo e agradável.",-,https://osvinhos.blogspot.pt/2009/08/1094-abrigada-2005-tinto.html
Absis 2003,Espanha,2003,Red,"Syrah, Cabernet Sauvignon, Merlot e Tempranillo",14.0,"Caves Parès Balta, S.A.",50.0,75.0,Marta Casas e Maria Elena Jimne,17.0,Outubro 2011,"Apresenta uma cor granada de boa concentração e um nariz inicialmente complexo, onde as notas fumadas, terrosas e algo especiadas marcam o nariz, no decorrer da prova aparece a fruta, as sugestões apimentadas e um ligeiro toque de madeira velha e também couro, na boca é um vinho vigoroso e com enorme capacidade de envelhecimento, a fruta equilibra com as notas apimentadas, diversas especiarias e um toque balâmico bem elegante, os taninos revelam-se sólidos, e o final de boca é prolongado e muito persistente.",-,https://osvinhos.blogspot.pt/2012/06/2242-absis-2003-tinto.html
Acrux 2001,Argentina,2001,Red,Cabernet Sauvignon e Malbec,14.0,Olivier Fournier,25.0,50.0,José Mario Spisso e Julia Halupczok,16.5,Dezembro 2012,"Apresenta uma cor intensa e concentrada de tonalidade granada/avermelhada, o nariz revela aromas de fruta negra e alguma tosta, combinados com sugestões de couro e especiarias, num fundo agradavelmente marcado por nuances de cacau e café, na boca é um vinho encorpado, elegante e envolvente, com uma estrutura interessante e taninos já redondos, no paladar revela fruta preta madura, notas de barrica e subtis apontamentos apimentados e especiados, o final de boca é prolongado e persistente.","Cabernet Sauvignon 60% y Malbec: 40%. Winemakers: Pierre Lurton Chateau Cheval Blanc, Roberto de La Mota Terrazas de Los Andes.",https://osvinhos.blogspot.pt/2013/08/2784-acrux-2001-tinto.html
